Actual,Predicted,BERT Precision,BERT Recall,BERT F1,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum,BLEU Score,Precision -finetune,Recall -finetune,F1 -finetune,ROUGE-1 -finetune,ROUGE-2 -finetune,ROUGE-L -finetune,ROUGE-Lsum -finetune,BLEU Score -finetune
Experts question if  packed out planes are putting passengers at risk .U.S consumer advisory group says minimum space must be stipulated .Safety tests conducted on planes with more leg room than airlines offer .,Experts are questioning if having such packed out planes is putting passengers at risk. They say that the shrinking space on aeroplanes is not only uncomfortable - it's putting our health and safety in danger.,0.835333645343781,0.826195120811462,0.830739259719849,0.269419026620185,0.0903428422903493,0.178885375407924,0.178253433924918,0.521765022516256,0.771840214729309,0.854499578475952,0.811069309711456,0.36774779748743,0.166709517135502,0.235075239718949,0.234848417635198,0.237534503272309
"Drunk teenage boy climbed into lion enclosure at zoo in west India .Rahul Kumar, 17, ran towards animals shouting 'Today I kill a lion!'Fortunately he fell into a moat before reaching lions and was rescued .","Rahul Kumar, 17, climbed into lions' enclosure at zoo in Ahmedabad. He shouted 'Today I kill a lion or a lion kills me!' He was rescued by security staff before reaching the animals.",0.924824833869934,0.905396103858948,0.91500735282898,0.269419026620185,0.0903428422903493,0.178885375407924,0.178253433924918,0.599989853311282,0.815457582473755,0.872716963291168,0.843116223812103,0.36774779748743,0.166709517135502,0.235075239718949,0.234848417635198,0.228755043270762
Nottingham Forest are close to extending Dougie Freedman's contract .The Forest boss took over from former manager Stuart Pearce in February .Freedman has since lead the club to ninth in the Championship .,Dougie Freedman is set to sign a new two-year deal at Nottingham Forest. The former England Under-21 international has stabilised the club since replacing Stuart Pearce.,0.830201745033264,0.837592840194702,0.83388090133667,0.269419026620185,0.0903428422903493,0.178885375407924,0.178253433924918,0.448073173279704,0.788361132144928,0.847092390060425,0.816672265529633,0.36774779748743,0.166709517135502,0.235075239718949,0.234848417635198,0.236722881207238
"Fiorentina goalkeeper Neto has been linked with Liverpool and Arsenal .Neto joined Firoentina from Brazilian outfit Atletico Paranaense in 2011 .He is also wanted by PSG and Spanish clubs, according to his agent .CLICK HERE for the latest Liverpool news .",Liverpool target Neto is wanted by PSG and clubs in Spain. Brazilian keeper is wanted by a number of top European clubs. Reds were linked with a move for the 25-year-old earlier in the season.,0.809837579727173,0.781386733055115,0.795357823371887,0.269419026620185,0.0903428422903493,0.178885375407924,0.178253433924918,0.496212546026584,0.76420271396637,0.837382078170776,0.799120545387268,0.36774779748743,0.166709517135502,0.235075239718949,0.234848417635198,0.275666019887829
"Tell-all interview with the reality TV star, 69, will air on Friday April 24 .It comes amid continuing speculation about his transition to a woman and following his involvement in a deadly car crash in February .The interview will also be one of Diane Sawyer's first appearances on television following the sudden death of her husband last year .","Bruce Jenner's biggest fans, the reality show's producers are reportedly preparing for a'serious' interview with the former Olympian. Bruce Jenner's upcoming interview with Diane Sawyer on Monday, but the gossip site quickly ruled out any possibility of a Kardashians reunion. Beverly Hills on Thursday, and the couple has been married for more than 20 years. a bulky sweatshirt Jenner is reportedly preparing to make his on-screen debut as a woman on 'Dancing with the Stars', he is also reportedly preparing to make his transition to a woman on the show. Bruce is ready.' Kris Jenner's blessing. Jenner's family and friends be able to hear about the crash and how he was able to help Kim. ABC News anchor and former CBS News anchor Tom Sawyer is to return to the network's newscasts, following a five-year absence.",0.730019569396973,0.788437485694885,0.758104860782623,0.269419026620185,0.0903428422903493,0.178885375407924,0.178253433924918,0.226568559980438,0.787271738052368,0.867496609687805,0.825439453125,0.36774779748743,0.166709517135502,0.235075239718949,0.234848417635198,0.363672669841466
"Giant pig fell into the swimming pool at his home in Ringwood, Hampshire .It took the efforts of a team of firefighters to winch him out of the water .A wayward horse also had to be rescued from a swimming pool in Sussex .",Pool Swim.,0.732753694057465,0.642203211784363,0.684496760368347,0.269419026620185,0.0903428422903493,0.178885375407924,0.178253433924918,0.00258148295489274,0.783559501171112,0.857540011405945,0.818882286548615,0.36774779748743,0.166709517135502,0.235075239718949,0.234848417635198,0.193122506741628
"Figures show that while millions still tune in they listen for shorter bursts .Average listener spent ten hours a week tuning in last three months of 2014 .This was 14% down on decade earlier, when people tuned in for 11.6 hours .The BBC Trust has cleared the way for firms to buy their way into lifestyle programmes on the World News channel in a product placement experiment. For example, publishers could pay to have their books reviewed on Talking Books. The BBC Trust will review the scheme in a year.",BBC director general Tony Hall has admitted the decline.,0.761096894741058,0.661874234676361,0.708026230335236,0.269419026620185,0.0903428422903493,0.178885375407924,0.178253433924918,0.158276487736053,0.817459344863892,0.832177042961121,0.824752569198608,0.36774779748743,0.166709517135502,0.235075239718949,0.234848417635198,0.346678498881566
"Show will return with a one-hour special, followed by spinoff, star John Stamos says .He announced the show Monday night on ""Jimmy Kimmel Live""","Netflix has ordered up a reunion special, followed by a spinoff series called ""Fuller House.""",0.838925004005432,0.769795596599579,0.80287504196167,0.269419026620185,0.0903428422903493,0.178885375407924,0.178253433924918,0.358382695971151,0.72720992565155,0.873737990856171,0.793768405914307,0.36774779748743,0.166709517135502,0.235075239718949,0.234848417635198,0.178813127885244
"Reanne Evans faced Ken Doherty in World Championship qualifier .Doherty won the world championship in 1997 .Evans lost the first frame 71-15 against Doherty .But the Dudley native fought back to lead 4-3 .Ken Doherty, however, managed to close out an enthralling contest 10-8 .","Ken Doherty's last. Evans in 2011, beat Evans 10-8 in the final at Ponds Forge. Evans put on her. Evans, who has won the title four times, was beaten 3-2 by the defending champion, Graeme McDowell. Doherty's runs were a little slow, but she kept her composure and kept her nerve. Ken in a heartbeat. Doherty shook his head and said: 'It's a bit of a shock,' Evans said. British snooker talent in the second frame with a snooker-like snooker. England players were gathered. The snooker tables were set up for the first time in the history of the tournament, and the players will know exactly who she is and what she can do next time.",0.733538925647736,0.818987369537354,0.773911654949188,0.269419026620185,0.0903428422903493,0.178885375407924,0.178253433924918,0.19241945074758,0.739508628845215,0.80147510766983,0.769245982170105,0.36774779748743,0.166709517135502,0.235075239718949,0.234848417635198,0.267334731422515
"Gang have been jailed for a total of 31 years for sexually abusing children .Offences happened in cars, woods or at the defendants' homes in Banbury .Lured victims to parties organised on social media and then abused them .Girls aged between 13 and 16 were exploited by the gang from 2009 to 2014 .",31 years. Ahmed Hassan-Sule's first victims. 'vulnerable'. Kagiso Manase on trial for sex offences. Isla. Banbury be able to prosecute these men. Takudzwa Hova and Zsolt Szalontai to'save' them. Ahmed Hassan-Sule's second victim. child to engage in sexual activity and one count of rape. UK prison. Young Offenders Institute is a non-profit organization that provides training and support to young offenders.,0.702389121055603,0.740411996841431,0.720899522304535,0.269419026620185,0.0903428422903493,0.178885375407924,0.178253433924918,0.273919790734602,0.822169661521912,0.897867679595947,0.858352959156036,0.36774779748743,0.166709517135502,0.235075239718949,0.234848417635198,0.329988795376054
